Group ID,Group Name,Sender ID,Sender Nickname,Message,Timestamp
7881303351921861,私聊,7881303351921861,粹一·X,你好,2024-07-22 14:46:40
7881303351921861,私聊,7881303351921861,粹一·X,帮我找一下男装,2024-07-22 14:46:56
R:10758333701563363,私聊,7881303351921861,粹一·X,你好,2024-07-22 15:53:26
7881303351921861,私聊,7881303351921861,粹一·X,你好,2024-07-22 15:53:46
R:10758333701563363,私聊,7881303351921861,粹一·X,你好,2024-07-22 15:54:59
R:10758333701563363,私聊,7881303351921861,粹一·X,找一个半袖,2024-07-22 15:55:25
R:10758333701563363,私聊,7881303351921861,粹一·X,找一个优惠大的半袖,2024-07-22 15:56:14
R:10758333701563363,私聊,7881303351921861,粹一·X,100元以下的,2024-07-22 15:56:35
R:10758333701563363,私聊,7881303351921861,粹一·X,男装,2024-07-22 15:57:27
R:10758333701563363,私聊,7881303351921861,粹一·X,我想找一件男装半袖，价格在50元以内，最好是速干材质的。,2024-07-22 15:57:52
